datetime,province,temp,wind_dir,wind_speed
2020-07-31 01:00:00,Saraburi,26.1,190,6
2020-07-31 04:00:00,Saraburi,30.4,240,10
2020-07-31 07:00:00,Saraburi,33.6,275,9
2020-07-31 10:00:00,Saraburi,33.8,270,6
2020-07-31 13:00:00,Saraburi,30.6,170,4
2020-07-31 16:00:00,Saraburi,28.2,220,10
2020-07-31 19:00:00,Saraburi,26.7,180,9
2020-07-31 22:00:00,Saraburi,26.0,190,8
2020-08-01 01:00:00,Saraburi,25.6,180,13
2020-08-01 04:00:00,Saraburi,25.9,175,11
2020-08-01 07:00:00,Saraburi,29.1,185,10
2020-08-01 10:00:00,Saraburi,30.4,185,16
2020-08-01 13:00:00,Saraburi,27.0,170,14
2020-08-01 16:00:00,Saraburi,26.3,215,15
2020-08-01 19:00:00,Saraburi,25.6,210,12
2020-08-01 22:00:00,Saraburi,25.2,210,10
2020-08-02 01:00:00,Saraburi,25.0,180,11
2020-08-02 04:00:00,Saraburi,25.5,210,12
2020-08-02 07:00:00,Saraburi,25.9,215,14
2020-08-02 10:00:00,Saraburi,25.8,215,15
2020-08-02 13:00:00,Saraburi,25.2,225,15
2020-08-02 16:00:00,Saraburi,24.8,200,20
2020-08-02 19:00:00,Saraburi,24.6,195,14
2020-08-02 22:00:00,Saraburi,24.4,210,20
2020-08-03 01:00:00,Saraburi,24.7,175,10
2020-08-03 04:00:00,Saraburi,27.0,205,19
2020-08-03 07:00:00,Saraburi,30.7,235,27
2020-08-03 10:00:00,Saraburi,29.1,220,24
2020-08-03 13:00:00,Saraburi,26.9,180,12
2020-08-03 16:00:00,Saraburi,26.1,175,14
2020-08-03 19:00:00,Saraburi,25.8,160,13
2020-08-03 22:00:00,Saraburi,25.5,170,14
2020-08-04 01:00:00,Saraburi,25.5,170,11
2020-08-04 04:00:00,Saraburi,29.6,210,21
2020-08-04 07:00:00,Saraburi,30.6,225,21
2020-08-04 10:00:00,Saraburi,29.3,220,19
2020-08-04 13:00:00,Saraburi,26.0,175,13
2020-08-04 16:00:00,Saraburi,25.6,175,15
2020-08-04 19:00:00,Saraburi,25.1,185,16
2020-08-04 22:00:00,Saraburi,24.7,185,18
2020-08-05 01:00:00,Saraburi,25.0,125,15
2020-08-05 04:00:00,Saraburi,27.1,180,12
2020-08-05 07:00:00,Saraburi,29.2,210,13
2020-08-05 10:00:00,Saraburi,26.6,220,7
2020-08-05 13:00:00,Saraburi,25.5,215,6
2020-08-05 16:00:00,Saraburi,25.4,170,4
2020-08-05 19:00:00,Saraburi,25.3,175,6
2020-08-05 22:00:00,Saraburi,24.8,175,6
2020-08-06 01:00:00,Saraburi,24.8,180,6
2020-08-06 04:00:00,Saraburi,26.6,175,7
2020-08-06 07:00:00,Saraburi,30.9,235,9
2020-08-06 10:00:00,Saraburi,30.8,245,9
